"figure","ER_AUCDXD1_AE_ocular_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUCDXD1_AE_stomatitis_2_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUCDXD1_AE_stomatitis_safety.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER pair plot with AZ filename and visual contract."
"figure","ER_AUCDXD1_Res1_efficacy.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this ER efficacy pair plot with AZ filename and visual contract."
"figure","ER_CAVE_0_TO_PFS_Res1_efficacy_0_to_event.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-event ER pair plot with AZ filename and visual contract."
"figure","ER_CAVE_DXD_0_TO_PFS_Res1_efficacy_0_to_event.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-event ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_0_to_ADJU_ILD_ADJU_ILD_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_0_to_ILD_AE_ILD_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_0_to_grade3_AE_grade3_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_0_to_ocular_2_AE_ocular_2_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_0_to_ocular_AE_ocular_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_0_to_stomatitis_2_AE_stomatitis_2_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_0_to_stomatitis_AE_stomatitis_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_DXD_0_to_ADJU_ILD_ADJU_ILD_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_DXD_0_to_ILD_AE_ILD_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_DXD_0_to_grade3_AE_grade3_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_DXD_0_to_ocular_2_AE_ocular_2_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_DXD_0_to_ocular_AE_ocular_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_DXD_0_to_stomatitis_2_AE_stomatitis_2_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","ER_Cave_DXD_0_to_stomatitis_AE_stomatitis_safety_0_to_ae.png","core4_exposure_response_exploration","er_pair_plot_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; export this time-to-AE ER pair plot with AZ filename and visual contract."
"figure","Combined_ILD_incidence_curves.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire ILD cumulative incidence/KM panel export."
"figure","Combined_OS_PFS_DoR_KM_by_dose.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire combined OS/PFS/DoR KM by-dose panel export."
"figure","Combined_OS_PFS_KM_by_dose.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire combined OS/PFS KM by-dose panel export."
"figure","Combined_OS_PFS_KM_plots_aligned_twotiles.pdf","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire combined OS/PFS exposure twotile PDF panel export."
"figure","DoR_KM_AUC1_twotiles.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire DoR KM AUC1 twotile export."
"figure","DoR_KM_Cave_0_twotiles.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire DoR KM Cave0 twotile export."
"figure","DoR_KM_by_dose.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire DoR KM by-dose export."
"figure","ILD_KM_by_dose.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire ILD KM by-dose export."
"figure","ILD_KM_by_exposure_quartiles.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire ILD KM exposure quartile export."
"figure","ILD_KM_by_exposure_twotiles.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire ILD KM exposure twotile export."
"figure","OS_KM_AUC1_twotiles.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire OS KM AUC1 twotile export."
"figure","OS_KM_Cave_0_to_OS_twotiles.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire OS KM Cave0 twotile export."
"figure","OS_KM_by_dose.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire OS KM by-dose export."
"figure","PFS_KM_AUC1_twotiles.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire PFS KM AUC1 twotile export."
"figure","PFS_KM_Cave_0_to_PFS_twotiles.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire PFS KM Cave0 twotile export."
"figure","PFS_KM_by_dose.png","core5_statistical_modeling","km_cox_figure_export","high","model_posthoc_sdtab1062","Results/figures","target_not_reproduced","Provide/resolve mock01 Models/sdtab1062; wire PFS KM by-dose export."
